"TERM 1","Welcome to the ND","30 mins"
,"Stock Prices","30 mins"
,"Market Mechanics","30 mins"
,"Data Processing ","30 mins"
,"Stock Returns","30 mins"
,"Momentum Trading","30 mins"
,"Project: Trading w/ Momentum","1 week"
,"Quant Workflow","30 mins"
,"Outliers & Filtering","30 mins"
,"Regression","45 mins"
,"Time Series Modelling","45 mins"
,"Volatility","45 mins"
,"Pairs Trading & Mean Reversion","45 mins"
,"Project: Breakout Strategy","1 week"
,"Stocks, Indices, Funds","1 hour"
,"ETFs","1 hour 30 mins"
,"Portfolio Risk & Return","30 mins"
,"Portfolio Optimizations","30 mins"
,"Project: Smart Beta & PO","1 week"
,"Factors","1 hour"
,"Factor Models","1 hour"
,"Risk Factor Models","1 hour"
,"Risk Factor Models w/ PCA","1 hour"
,"Alpha Factors","1 hours"
,"Alpha Factors w/ Case Studies","1 hour"
,"Advanced PO","1 hour"
,"Project: Multi Factor Model","1 week"
