Marketing Fundamentals,Welcome to the ND,30 minutes
,Welcome to Digital Marketing,10 mins
,DM Framework,30 mins
,What: Your Business,30 mins
,Your Customer,30 mins
,Where: Marketing Channel,30 mins
,Why: Marketing Objectives,30 mins
,Project: Welcome to 1st Project,1 week
Content Strategy,Plan your Strategy,1 hour
,Create Content,1 hour
,Promote Content,1 hour
,Optimize Website UX,1 hour
,Measure Impact,1 hour
,Jobs in Content Marketing,10 mins
Social Media Marketing,Social Media Landscape,1 hour
,Social Media Channels,1 hour
,Social Media Content,1 hour
,Implement & Monitor Content,1 hour
,Measure Impact,1 hour
,Project: Market your Content,1 week
Social Media Advertising,Intro to social media adv.,10 mins
,Choose the right platforms,1 hour
,Facebook – getting started,10 mins
,Facebook – create ad sets,10 mins
,Facebook – create & manage,10 mins
,Project: Facebook Campaign - I,1 week
,Project: Facebook Campaign - II,1 week
SEO,How search works,30 mins
,Keywords,30 mins
,Tags & Site Structure,30 mins
,Link Building,30 mins
,SEO Audit,20 mins
,Project: Conduct SEO Audit,1 week
SEM,Intro to SEM,30 mins
,Keywords,30 mins
,Text Ads,30 mins
,Ad Rank/ CPC bid,30 mins
,Navigate Adwords,30 mins
,Metrics & Optimizations,30 mins
,Project: Run Adwords Campaign – I,1 week
,Project: Run Adwords Campaign - II,1 week
Display Advertising,How do Ads work?,30 mins
,Display ads & targeting,30 mins
,Display advertising sales,30 mins
,Display adv w/ Adwords,30 mins
,Video Advertising,30 mins
,Project: Evaluate ad campaign,1 week
Email Marketing,Email list generation,1 hour
,Create effective email,1 hour
,Create email plan,1 hour
,Measure results,1 hour
,Project: Market w/ email,1 week
Google Analytics,Get oriented,50 mins
,Understand your Audience,1 hour
,Evaluate Acquisition,1 hour
,Understand Behavior,1 hour
,Evaluate Conversion,1 hour
,Project: Improve LinkedIn ,1 hour
Conclusion,Create a marketing plan,20 mins
,Project: Create your portfolio,1 hour
,Marketing Analytics,10 mins
